                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.129,                 4.0298,                 1.4446,                0.57179,                0.63195,                 0.6053,                0.50547,                  0.666,                 1.7743,                 1.1162,             0.00010397,             0.00010397,             0.00010397
                      2,                0.87661,                  2.575,                 1.2366,                0.78368,                0.86633,                0.91895,                0.79398,                0.58977,                 1.0301,                 1.0534,             0.00020006,             0.00020006,             0.00020006
                      3,                0.82533,                 1.9623,                 1.1826,                0.91511,                0.92282,                 0.9628,                0.83214,                0.57124,                 0.7578,                 1.0194,             0.00028788,             0.00028788,             0.00028788
                      4,                0.79247,                 1.6379,                 1.1522,                0.92064,                 0.9353,                0.97162,                0.85191,                0.54318,                 0.6759,                 1.0008,             0.00027582,             0.00027582,             0.00027582
                      5,                0.77199,                 1.4418,                 1.1382,                0.95952,                0.96865,                0.98443,                0.86914,                0.52208,                 0.5875,                0.98636,             0.00027582,             0.00027582,             0.00027582
                      6,                0.73204,                 1.2722,                 1.1052,                0.96431,                0.97269,                0.98057,                0.86931,                0.52259,                0.48265,                0.97034,             0.00026342,             0.00026342,             0.00026342
                      7,                 0.7061,                 1.1545,                 1.0864,                0.97127,                0.98884,                0.98498,                0.87225,                0.51306,                0.45121,                0.97037,             0.00025103,             0.00025103,             0.00025103
                      8,                0.70659,                 1.1017,                 1.0873,                0.96809,                0.98684,                0.98267,                0.87253,                0.50978,                0.44671,                0.95413,             0.00023863,             0.00023863,             0.00023863
                      9,                0.68982,                0.99571,                 1.0706,                0.97288,                0.98954,                 0.9839,                0.87406,                0.50883,                0.41325,                0.95751,             0.00022624,             0.00022624,             0.00022624
                     10,                0.68077,                0.96627,                 1.0649,                0.97709,                 0.9883,                0.98445,                0.87998,                0.50258,                0.39356,                0.94545,             0.00021384,             0.00021384,             0.00021384
                     11,                 0.6554,                0.90698,                 1.0439,                0.97426,                0.98925,                0.98433,                0.88171,                0.48605,                 0.3743,                0.93533,             0.00020145,             0.00020145,             0.00020145
                     12,                0.66319,                0.87251,                 1.0516,                 0.9757,                0.99099,                0.98768,                0.88366,                0.48602,                0.38046,                0.93606,             0.00018905,             0.00018905,             0.00018905
                     13,                0.64832,                0.83722,                 1.0457,                0.97917,                0.99266,                0.98524,                0.88379,                   0.48,                0.33971,                0.92544,             0.00017666,             0.00017666,             0.00017666
                     14,                  0.638,                0.80296,                 1.0363,                0.97832,                0.99377,                0.98472,                0.87552,                0.51018,                0.33736,                0.94679,             0.00016426,             0.00016426,             0.00016426
                     15,                0.63914,                0.77031,                 1.0362,                0.97717,                 0.9918,                0.98363,                0.88326,                 0.4901,                0.32771,                0.93375,             0.00015187,             0.00015187,             0.00015187
                     16,                0.50608,                0.44334,                0.96275,                0.97835,                0.99342,                0.98683,                0.88598,                0.47794,                0.32418,                0.93007,             0.00013947,             0.00013947,             0.00013947
                     17,                0.48523,                0.40109,                0.94581,                0.97755,                0.99342,                0.97989,                0.87905,                0.48395,                 0.3161,                0.93126,             0.00012708,             0.00012708,             0.00012708
                     18,                0.47419,                0.37498,                0.94179,                0.98046,                0.99391,                0.98086,                0.88505,                0.47216,                0.29913,                0.92673,             0.00011468,             0.00011468,             0.00011468
                     19,                0.46853,                0.35397,                0.93651,                0.97792,                0.99202,                0.98153,                0.88553,                 0.4682,                0.30011,                0.92617,             0.00010229,             0.00010229,             0.00010229
                     20,                 0.4597,                0.33731,                0.93363,                   0.98,                0.99145,                0.98644,                0.89311,                0.45674,                0.28068,                0.91625,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     21,                0.45235,                0.32159,                0.92705,                0.97964,                0.99208,                 0.9847,                0.89057,                0.46147,                0.27797,                   0.92,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     22,                0.44786,                0.31275,                0.92538,                 0.9813,                0.99452,                0.98191,                0.88831,                0.46983,                0.27414,                0.92296,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     23,                0.43735,                0.30005,                0.91308,                0.98124,                0.99375,                0.98369,                0.89438,                0.45038,                0.25965,                0.91099,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     24,                   0.43,                0.29035,                0.91125,                0.98034,                0.99283,                0.98389,                0.89634,                 0.4454,                0.25987,                0.91014,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     25,                0.42186,                0.28286,                0.91007,                0.98033,                0.99241,                0.98419,                0.89552,                0.45081,                0.25837,                0.91367,              2.792e-05,              2.792e-05,              2.792e-05
